molecule_chembl_id,smiles,standard_relation,standard_value_nm,standard_units,target_chembl_id,exclusion_reason
CHEMBL2407751,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)CO)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,'<',3000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL373783,[N-]=[N+]=N[C@]1(COP(=O)(N[C@H](C(=O)OCc2ccccc2)C2CCCC2)Oc2ccccc2)O[C@@H](n2ccc(=O)[nH]c2=O)[C@@H](O)[C@H]1O,'<',100000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL3426543,O=C1C[C@]2(C(=O)Nc3ccc(Cl)cc32)c2cnn(Cc3ccc(Cl)cc3)c2N1,'>',5.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL1950064,C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1cc(Br)c2c(N)ncnc21,'<',10000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL1950235,C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1cc(C#Cc2ccccc2)c2c(N)ncnc21,'<',10000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2347158,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(Br)cc2)[nH]1)C(C)C,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2347330,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3cccc(C(F)(F)F)c3)cc2)[nH]1)C(C)C,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL1950073,CCc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@]2(C)F)c2ncnc(N)c12,'<',10000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL1950231,C#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@]2(C)F)c2ncnc(N)c12,'<',10000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2023320,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3cnc([C@@H]4CCCN4C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]3)cc2)[nH]1)C(C)C,'>',1.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2347336,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(C(=O)OC)cc3)cc2)[nH]1)C(C)C,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2347326,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(C#N)cc3)cc2)[nH]1)C(C)C,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL1095886,O=C(NCCO)c1cccc2c(=O)n(-c3cccc(Cl)c3)c(=O)[nH]c12,'<',100000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL572624,CCN(CC)c1cn2c(=O)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@@]4(C)O)c3nc2[nH]1,'<=',10000.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL5200848,COC(=O)N[C@@H](C(=O)N1CCC[C@H]1C(=O)Nc1cncc(-c2c3c(c(-c4cncc(NC(=O)[C@@H]5CCCN5C(=O)[C@H](NC(=O)OC)c5ccccc5)c4)c4c2C(C)(C)CC4)C(C)(C)CC3)c1)c1ccccc1,'>',0.5,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2347343,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(NS(C)(=O)=O)cc2)[nH]1)C(C)C,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2347342,COC(=O)Nc1ccc(-c2cnc([C@@H]3CCCN3C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]2)cc1,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2347322,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(S(=O)(=O)c3ccccc3)cc2)[nH]1)C(C)C,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2347163,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(C(F)(F)F)cc2)[nH]1)C(C)C,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2347327,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(C)cc3)cc2)[nH]1)C(C)C,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2347340,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(Cl)c(-c2ccc(-c3ccc(C(F)(F)F)cc3)cc2)[nH]1)C(C)C,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2347338,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(S(C)(=O)=O)cc3)cc2)[nH]1)C(C)C,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
CHEMBL2347161,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc([N+](=O)[O-])cc2)[nH]1)C(C)C,'>',100.0,nM,CHEMBL379,ambiguous_censored_label
